Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
letter-a-charm,Letter A Charm,,,charms,charms,TRUE,Color,Blue,LETTER_A_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-a-charm,,,,,,,,Dark Blue,LETTER_A_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-a-charm,,,,,,,,Purple,LETTER_A_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-a-charm,,,,,,,,Pink,LETTER_A_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-a-charm,,,,,,,,Yellow,LETTER_A_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-b-charm,Letter B Charm,,,charms,charms,TRUE,Color,Blue,LETTER_B_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-b-charm,,,,,,,,Dark Blue,LETTER_B_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-b-charm,,,,,,,,Purple,LETTER_B_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-b-charm,,,,,,,,Pink,LETTER_B_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-b-charm,,,,,,,,Yellow,LETTER_B_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-c-charm,Letter C Charm,,,charms,charms,TRUE,Color,Blue,LETTER_C_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-c-charm,,,,,,,,Dark Blue,LETTER_C_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-c-charm,,,,,,,,Purple,LETTER_C_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-c-charm,,,,,,,,Pink,LETTER_C_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-c-charm,,,,,,,,Yellow,LETTER_C_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-d-charm,Letter D Charm,,,charms,charms,TRUE,Color,Blue,LETTER_D_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-d-charm,,,,,,,,Dark Blue,LETTER_D_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-d-charm,,,,,,,,Purple,LETTER_D_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-d-charm,,,,,,,,Pink,LETTER_D_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-d-charm,,,,,,,,Yellow,LETTER_D_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-e-charm,Letter E Charm,,,charms,charms,TRUE,Color,Blue,LETTER_E_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-e-charm,,,,,,,,Dark Blue,LETTER_E_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-e-charm,,,,,,,,Purple,LETTER_E_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-e-charm,,,,,,,,Pink,LETTER_E_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-e-charm,,,,,,,,Yellow,LETTER_E_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-f-charm,Letter F Charm,,,charms,charms,TRUE,Color,Blue,LETTER_F_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-f-charm,,,,,,,,Dark Blue,LETTER_F_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-f-charm,,,,,,,,Purple,LETTER_F_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-f-charm,,,,,,,,Pink,LETTER_F_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-f-charm,,,,,,,,Yellow,LETTER_F_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-g-charm,Letter G Charm,,,charms,charms,TRUE,Color,Blue,LETTER_G_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-g-charm,,,,,,,,Dark Blue,LETTER_G_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-g-charm,,,,,,,,Purple,LETTER_G_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-g-charm,,,,,,,,Pink,LETTER_G_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-g-charm,,,,,,,,Yellow,LETTER_G_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-h-charm,Letter H Charm,,,charms,charms,TRUE,Color,Blue,LETTER_H_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-h-charm,,,,,,,,Dark Blue,LETTER_H_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-h-charm,,,,,,,,Purple,LETTER_H_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-h-charm,,,,,,,,Pink,LETTER_H_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-h-charm,,,,,,,,Yellow,LETTER_H_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-i-charm,Letter I Charm,,,charms,charms,TRUE,Color,Blue,LETTER_I_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-i-charm,,,,,,,,Dark Blue,LETTER_I_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-i-charm,,,,,,,,Purple,LETTER_I_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-i-charm,,,,,,,,Pink,LETTER_I_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-i-charm,,,,,,,,Yellow,LETTER_I_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-j-charm,Letter J Charm,,,charms,charms,TRUE,Color,Blue,LETTER_J_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-j-charm,,,,,,,,Dark Blue,LETTER_J_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-j-charm,,,,,,,,Purple,LETTER_J_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-j-charm,,,,,,,,Pink,LETTER_J_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-j-charm,,,,,,,,Yellow,LETTER_J_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-k-charm,Letter K Charm,,,charms,charms,TRUE,Color,Blue,LETTER_K_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-k-charm,,,,,,,,Dark Blue,LETTER_K_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-k-charm,,,,,,,,Purple,LETTER_K_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-k-charm,,,,,,,,Pink,LETTER_K_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-k-charm,,,,,,,,Yellow,LETTER_K_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-l-charm,Letter L Charm,,,charms,charms,TRUE,Color,Blue,LETTER_L_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-l-charm,,,,,,,,Dark Blue,LETTER_L_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-l-charm,,,,,,,,Purple,LETTER_L_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-l-charm,,,,,,,,Pink,LETTER_L_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-l-charm,,,,,,,,Yellow,LETTER_L_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-m-charm,Letter M Charm,,,charms,charms,TRUE,Color,Blue,LETTER_M_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-m-charm,,,,,,,,Dark Blue,LETTER_M_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-m-charm,,,,,,,,Purple,LETTER_M_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-m-charm,,,,,,,,Pink,LETTER_M_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-m-charm,,,,,,,,Yellow,LETTER_M_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-n-charm,Letter N Charm,,,charms,charms,TRUE,Color,Blue,LETTER_N_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-n-charm,,,,,,,,Dark Blue,LETTER_N_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-n-charm,,,,,,,,Purple,LETTER_N_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-n-charm,,,,,,,,Pink,LETTER_N_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-n-charm,,,,,,,,Yellow,LETTER_N_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-o-charm,Letter O Charm,,,charms,charms,TRUE,Color,Blue,LETTER_O_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-o-charm,,,,,,,,Dark Blue,LETTER_O_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-o-charm,,,,,,,,Purple,LETTER_O_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-o-charm,,,,,,,,Pink,LETTER_O_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-o-charm,,,,,,,,Yellow,LETTER_O_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-p-charm,Letter P Charm,,,charms,charms,TRUE,Color,Blue,LETTER_P_CHARM_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,active
letter-p-charm,,,,,,,,Dark Blue,LETTER_P_CHARM_DARK_BLUE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-p-charm,,,,,,,,Purple,LETTER_P_CHARM_PURPLE,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-p-charm,,,,,,,,Pink,LETTER_P_CHARM_PINK,0,,10,deny,manual,3.39,FALSE,TRUE,
letter-p-charm,,,,,,,,Yellow,LETTER_P_CHARM_YELLOW,0,,10,deny,manual,3.39,FALSE,TRUE,
